Product,Quantity
"Soundbar Samsung com 2.1 canais, Dolby Digital",192
Fone de Ouvido Profissional EDIFIER WH950NB,206
SSD Crucial 1TB NVMe M.2,206
Película para iPhone 14Pro Anti impacto,221
Samsung Galaxy Tab S6 Lite,222
Mouse Redragon Wireless,226
"Smart TV LED 32""Samsung LED Tizen TV",229
Carregador Turbo USB-C 30W,230
Teclado Mecanico Fizz,230
"Soundbar Tomate MTS-2017, Bivolt",231
"Projetor Smart Epson EpiqVision, FULL HD",235
"Monitor UHD Samsung 32""",236
"Fone de Ouvido Sem Fio TWS, PHILIPS",239
Samsung Galaxy A36,243
Película de Vidro 3D Galaxy A30s,246
ACER Notebook Gamer Nitro,253
Carregador Turbo Tipo-C 50w,258
Projetor EPSON Powerlite Wide Screen,265
Smart TV 32” Philco LED Roku TV,268
Fone de Ouvido Profissional AKG K92,284
Fone de ouvido Sem Fio QCY T27,287
